CLASSIFICATION_BROAD,CLASSIFICATION_SPECIFIC,CLASS,KEGG,GO,PFAM,NAME_SHORT,NAME_FULL,DESCRIPTION,REFERENCE,WHY,...12,...13,...14,classification_source
Cellular function,Fe-S cluster formation,Fe-S cluster formation,K15113,NA,NA,"SLC25A28_37, MFRN","solute carrier family 25 (mitochondrial iron transporter), member 28/37",Carrier proteins that transport reduced iron into the mitochondria,https://www.sciencedirect.com/science/article/pii/S0968000405000290#fig2,"Fe-S cluster formation is important because it can serve as an essential co-factor in many cellular function. Formation of Fe-S clusters will be related to available Fe from the environment and be sensitive to the presence of oxidants (Oxygen, ROS, etc.)",NA,NA,NA,manual
Cellular function,Fe-S cluster formation,Fe-S cluster formation,K04487,NA,NA,iscS,cysteine desulfurase [EC:2.8.1.7],Reduced iron (meta) binds to Isu1/Isu2. This serves as the scaffolding for the synthesis of the ISC,https://www.sciencedirect.com/science/article/pii/S0968000405000290#fig2,NA,NA,NA,NA,manual
Cellular function,Fe-S cluster formation,Fe-S cluster formation,K22068,NA,NA,ISCU,"iron-sulfur cluster assembly enzyme ISCU, mitochondrial",Reduced iron (meta) binds to Isu1/Isu2. This serves as the scaffolding for the synthesis of the ISC,https://www.sciencedirect.com/science/article/pii/S0968000405000290#fig2,NA,NA,NA,NA,manual
Cellular function,Fe-S cluster formation,Fe-S cluster formation,K22068,NA,NA,ISCU,"iron-sulfur cluster assembly enzyme ISCU, mitochondrial",Reduced iron (meta) binds to Isu1/Isu2. This serves as the scaffolding for the synthesis of the ISC,https://www.sciencedirect.com/science/article/pii/S0968000405000290#fig2,NA,NA,NA,NA,manual
Cellular function,Fe-S cluster formation,Fe-S cluster formation,K22069,NA,NA,LYRM4,LYR motif-containing protein 4,Protein in mitochondria and nucleus that binds to cysteine desulfurase and assists in obtaining the Sulfur for the Fe/S clusters,https://www.ncbi.nlm.nih.gov/gene/57128,NA,NA,NA,NA,manual
Cellular function,Fe-S cluster formation,Fe-S cluster formation,K19054,NA,NA,FXN,frataxin [EC:1.16.3.1],Binds to the Isu proteins to assist in delivering metal,https://www.sciencedirect.com/science/article/pii/S0968000405000290#fig2,NA,NA,NA,NA,manual
Cellular function,Fe-S cluster formation,Fe-S cluster formation,K22071,NA,NA,FDX2,"ferredoxin-2, mitochondrial",Binds to the Isu proteins to assist in delivering metal,https://www.sciencedirect.com/science/article/pii/S0968000405000290#fig2,NA,NA,NA,NA,manual
Cellular function,Fe-S cluster formation,Fe-S cluster formation,K18914,NA,NA,FDXR,adrenodoxin-NADP+ reductase [EC:1.18.1.6],Binds to the Isu proteins to assist in delivering metal,https://www.sciencedirect.com/science/article/pii/S0968000405000290#fig2,NA,NA,NA,NA,manual
Cellular function,Fe-S cluster formation,Fe-S cluster formation,K04043,NA,NA,dnaK,molecular chaperone DnaK,"Chaperone system, for transporting ISC assembly to apoproteins",https://www.sciencedirect.com/science/article/pii/S0968000405000290#fig2,NA,NA,NA,NA,manual
Cellular function,Fe-S cluster formation,Fe-S cluster formation,K04043,NA,NA,dnaK,molecular chaperone DnaK,"Chaperone system, for transporting ISC assembly to apoproteins",https://www.sciencedirect.com/science/article/pii/S0968000405000290#fig2,NA,NA,NA,NA,manual
Cellular function,Fe-S cluster formation,Fe-S cluster formation,K04043,NA,NA,dnaK,molecular chaperone DnaK,"Chaperone system, for transporting ISC assembly to apoproteins",https://www.sciencedirect.com/science/article/pii/S0968000405000290#fig2,NA,NA,NA,NA,manual
Cellular function,Fe-S cluster formation,Fe-S cluster formation,K04082,NA,NA,hscB,molecular chaperone HscB,"Chaperone system, for transporting ISC assembly to apoproteins",https://www.sciencedirect.com/science/article/pii/S0968000405000290#fig2,NA,NA,NA,NA,manual
Cellular function,Fe-S cluster formation,Fe-S cluster formation,K14001,NA,NA,SIL1,nucleotide exchange factor SIL1,"Chaperone system, for transporting ISC assembly to apoproteins",https://www.sciencedirect.com/science/article/pii/S0968000405000290#fig2,NA,NA,NA,NA,manual
Cellular function,Fe-S cluster formation,Fe-S cluster formation,K07390,NA,NA,grxD,monothiol glutaredoxin,Iron sensing protein; especially for iron starvation,https://pmc.ncbi.nlm.nih.gov/articles/PMC6762210/,NA,NA,NA,NA,manual
Cellular function,Fe-S cluster formation,Fe-S cluster formation,K22063,NA,NA,ISCA1,iron-sulfur cluster assembly 1,Biosynthesis of ISC,https://www.sciencedirect.com/science/article/pii/S0968000405000290#fig2,NA,NA,NA,NA,manual
Cellular function,Fe-S cluster formation,Fe-S cluster formation,K22072,NA,NA,ISCA2,iron-sulfur cluster assembly 2,Biosynthesis of ISC,https://www.sciencedirect.com/science/article/pii/S0968000405000290#fig2,NA,NA,NA,NA,manual
Cellular function,Fe-S cluster formation,Fe-S cluster formation,K22073,NA,NA,IBA57,"transferase CAF17, mitochondrial [EC:2.1.-.-]",Transporting ISC,https://www.sciencedirect.com/science/article/pii/S0968000405000290#fig2,NA,NA,NA,NA,manual
Cellular function,Fe-S cluster formation,Fe-S cluster formation,K22074,NA,NA,NFU1,"NFU1 iron-sulfur cluster scaffold homolog, mitochondrial",Biosynthesis of ISC,https://www.sciencedirect.com/science/article/pii/S0968000405000290#fig2,NA,NA,NA,NA,manual
Cellular function,Fe-S cluster formation,Fe-S cluster formation,K22066,NA,NA,BOLA1,BolA-like protein 1,ISC Chaperone to cytosol,https://www.sciencedirect.com/science/article/pii/S0021925820357082,NA,NA,NA,NA,manual
Cellular function,Fe-S cluster formation,Fe-S cluster formation,K22075,NA,NA,BOLA3,BolA-like protein 3,ISC Chaperone to cytosol,https://www.sciencedirect.com/science/article/pii/S0021925820357082,NA,NA,NA,NA,manual
Cellular function,Fe-S cluster formation,Fe-S cluster formation,K23503,NA,NA,SFXN5,sideroflexin-5,Citrate transport and mitochondrial transmembrane transport,https://www.ncbi.nlm.nih.gov/gene?Db=gene&Cmd=DetailsSearch&Term=94097,NA,NA,NA,NA,manual
Nutrient processing,GS/GOGAT,GS/GOGAT,K00262,NA,NA,gdhA,glutamate dehydrogenase (NADP+),NA,NA,NA,NA,NA,NA,manual
Nutrient processing,GS/GOGAT,GS/GOGAT,K00284,NA,NA,GLT(ferredoxin),glutamate synthase (ferredoxin),NA,NA,NA,NA,NA,NA,manual
Nutrient processing,GS/GOGAT,GS/GOGAT,K00264,NA,NA,GLT1,glutamate synthase (NADPH/NADH),NA,NA,NA,NA,NA,NA,manual
Nutrient processing,GS/GOGAT,GS/GOGAT,K01425,NA,NA,"glsA, GLS",glutaminase,NA,NA,NA,NA,NA,NA,manual
Nutrient processing,GS/GOGAT,GS/GOGAT,K01915,NA,NA,"glnA, GLUL",glutamine synthetase,NA,NA,NA,NA,NA,NA,manual
Nutrient processing,Inorganic N uptake and assimilation,Inorganic N uptake and assimilation,K07674,NA,NA,narQ,Nitrate/Nitrite sensor kinase,NA,Sensor,NA,NA,NA,NA,manual
Nutrient processing,Inorganic N uptake and assimilation,Inorganic N uptake and assimilation,K03320,NA,NA,"amt, AMT, MEP","ammonium transporter, Amt family",NA,NA,NA,NA,NA,NA,manual
Nutrient processing,Inorganic N uptake and assimilation,Inorganic N uptake and assimilation,K00326,NA,NA,cytochrome-b5 reductase,cytochrome-b5 reductase,NA,NA,NA,NA,NA,NA,manual
Nutrient processing,Inorganic N uptake and assimilation,Inorganic N uptake and assimilation,K00284,NA,NA,GLT(ferredoxin),glutamate synthase (ferredoxin),NA,NA,NA,NA,NA,NA,manual
Nutrient processing,Inorganic N uptake and assimilation,Inorganic N uptake and assimilation,K00264,NA,NA,GLT1,glutamate synthase (NADPH/NADH),NA,NA,NA,NA,NA,NA,manual
Nutrient processing,Inorganic N uptake and assimilation,Inorganic N uptake and assimilation,K01915,NA,NA,"glnA, GLUL",glutamine synthetase,NA,NA,NA,NA,NA,NA,manual
Nutrient processing,Inorganic N uptake and assimilation,Inorganic N uptake and assimilation,K00508,NA,NA,linoleoyl-CoA desaturase,linoleoyl-CoA desaturase,NA,NA,NA,NA,NA,NA,manual
